"token","embedding1","embedding2","embedding3","embedding4","embedding5","embedding6","embedding7","embedding8","embedding9","embedding10","embedding11","embedding12","embedding13","embedding14","embedding15","embedding16","embedding17","embedding18","embedding19","embedding20","embedding21","embedding22","embedding23","embedding24","embedding25","embedding26","embedding27","embedding28","embedding29","embedding30","embedding31","embedding32"
"themselves","0.098342255","0.25929087","0.5546886","-0.16271512","-0.40847957","-0.37123334","-0.6026266","0.14717178","-0.22767141","-0.4330044","0.37990212","-0.36277795","-0.36941943","-0.26864192","0.11486903","0.08605829","-0.05991552","-0.10779801","-0.76571614","0.11530072","0.19366224","-0.22858512","0.3720835","0.12435165","0.5346192","0.28796372","0.35479113","-0.021873206","-0.11625775","0.2252432","-0.20642295","0.2921573"
"request","-0.5796373","0.32595065","-0.57703644","0.06987042","0.33491796","-0.8213131","-0.12150838","-0.20957494","0.32760015","0.5726711","-0.105057955","0.5396721","-0.15853877","-0.80033445","-0.20755675","0.2514581","0.5549044","-0.28484723","0.23808248","-0.3509563","-0.09952037","0.5535655","-0.68541825","0.13275145","0.5834453","-0.52330685","-0.644124","0.44682002","-0.0880476","0.0051141162","-0.5466843","-0.22817183"
"address","0.36531284","0.18462738","0.44452745","-0.007481962","0.18054356","0.095382385","-0.2600014","0.47583398","0.14427269","0.014465806","0.043167893","-0.19200023","-0.037577964","0.10566349","0.48854914","0.16685684","0.13258782","-0.42513236","-0.802959","0.27326208","0.0617676","0.43877652","0.09506232","-0.069458544","-0.41194883","0.48715183","0.28411183","0.39141747","0.21658598","0.27999264","0.09571657","0.32178232"
"following","-0.010660699","-0.07645403","0.08915534","0.14314018","-0.11994508","-0.1668849","-0.55231297","0.10789825","-0.43102798","-0.105529845","-0.03001495","-0.29515648","-0.010027614","-0.19049007","-0.4122406","-0.24280807","0.23423353","0.08831732","0.26185396","-0.0645807","-0.052139085","-0.048218608","0.23881389","0.24528894","0.5927261","0.26080474","-0.15011735","-0.20454006","-0.22635363","0.12528203","-0.030051516","-0.05306724"
"14","0.21168132","0.44797575","-0.092621304","-0.03904179","-0.2883145","-0.40009457","0.21296003","0.40881366","-0.50587803","-0.0061028516","-0.22363591","0.39577532","0.6005405","-0.13605936","0.09813012","-0.24793647","-0.48364395","-0.28714597","-0.07391843","-0.10662783","0.5081192","0.017973552","-0.5368403","-0.48004967","0.5540185","-0.35962573","0.15975356","-0.0077752867","0.16117805","0.05275346","0.3305817","0.15855698"
"volkhonka","-0.32556173","-0.12898564","-0.4649675","-0.06308044","-0.6969016","0.24144144","0.17184141","-0.7573579","0.81237715","-0.53189695","-0.44099692","-0.35426757","-0.51373243","-0.021675307","0.7267869","0.7088976","0.37943333","-0.35779464","0.05403394","0.48803443","-0.39110515","-0.37169486","0.3065577","0.17025374","-0.65040374","0.33408788","0.0039983136","0.6276849","-0.48790178","0.5495792","-0.0139676025","-0.76912624"
"at","0.21087168","0.2929061","0.029576909","-0.031063244","0.6231117","0.3386354","-0.3550503","0.169319","-0.43552452","-0.13245082","-0.016193816","-0.29508758","-0.09081904","0.40783954","0.04287674","-0.41881025","-0.14004838","0.3805309","0.34139138","0.28237042","0.10461236","0.016558463","0.09229245","0.42324317","0.11937794","-0.061726525","-0.09349575","-0.48260775","-0.098207854","0.15274169","0.089156166","-0.056481402"
"end","0.08749586","0.2855033","-0.5741186","0.37837282","-0.3065867","-0.5699081","-0.13521554","-0.44315436","-0.7176729","-0.12943119","-0.264276","-0.08637043","-0.07232103","-0.5359467","-0.07513985","-0.2613857","0.18436976","-0.39557737","-0.30567327","0.28688568","-0.31226906","-0.3161734","-0.53089005","-0.12000331","-0.3197299","0.24476007","0.06087217","-0.056585245","-0.12377011","0.13211645","-0.07555078","-0.46110058"
"over","-0.12314324","0.13700908","0.10459049","-0.39870855","-0.4520105","-0.054198228","-0.5024937","0.53039676","-0.15022641","-0.34249178","0.43824637","-0.18233566","0.59409904","0.32065365","0.21765234","-0.08130211","0.29957756","0.41431454","0.45009872","0.29131186","-0.3446702","0.041382186","0.4777196","0.5071607","0.70032746","0.17692997","-0.271561","-0.74263155","0.22275719","0.32345688","-0.13688587","0.19623107"
"six","-0.05421744","-0.5096198","0.4073636","-0.22362758","0.6890336","0.0157124","-0.5188082","-0.6472995","-0.7426","-0.09871287","-0.83113956","-0.049598284","0.3277913","0.500929","0.55784845","-0.4094228","-0.0025085364","0.4362653","-0.9023642","-0.16685592","0.7084268","0.47624424","0.21810637","0.4287652","0.19803417","0.5081149","-0.20049803","0.62374026","-0.24101236","-0.41011032","0.23655756","-0.36128914"
"million","0.11201284","0.33179915","-0.1912115","0.30926454","0.025496865","-0.13382097","-0.23537652","0.2781843","-0.12285204","-0.28281736","0.034171633","-0.0060664364","-1.1170648","0.65995955","-0.5383475","0.2578813","0.04312543","-0.10215047","0.6196274","0.26250657","0.14648104","-0.50041294","-0.15538546","-0.5445458","-0.35304344","0.67065895","-0.2390752","0.16234918","-0.13931678","-0.6992266","-0.3470109","-0.20984077"
"copies","-0.08747161","0.18192506","-0.1754854","-0.19595514","-0.0469166","0.54262424","0.13883315","0.286462","0.3663727","0.21916817","0.5411705","0.10125031","0.4088975","-0.45226663","-0.05666976","-0.2877448","0.093982145","-0.31888908","-0.34469447","0.26893076","-0.85242575","0.33807454","-0.1991583","-0.13050734","0.5223055","-0.7243346","0.40152255","-0.5210798","-0.051646072","0.20689712","0.4131637","0.4371322"
"rapidly","0.12006573","0.011519881","-0.039843746","0.48222107","0.4161301","-0.6522024","-0.13929869","-0.45209622","-0.5282188","0.23052527","-0.7017356","-0.65760577","-0.5937558","-0.40486917","0.37741598","-0.3240719","-0.3403166","-0.56869745","-0.49942267","-0.22240406","0.06892335","-0.0064763105","-0.3597116","-0.5703297","0.38508222","-0.08565043","0.44354457","0.3503332","-0.41022277","-0.37202996","0.1174325","0.28538632"
"sold","-0.48613194","0.24852572","-0.3307948","0.031095084","-0.46915415","0.047001116","-0.6829713","-0.14230606","0.44398862","-0.4874117","-0.007735828","0.5582024","-0.33922228","-0.51255274","-0.0122709125","1.0239996","0.2665449","0.016691739","0.49624744","-0.5408646","-0.64556605","-0.13617808","0.30997097","0.12698714","-0.049824316","-0.18054104","0.602034","-0.11950186","0.70509803","0.5047857","0.42420685","0.7396481"
"besides","0.2958216","-0.4640644","0.6263632","-0.40688986","-0.47311124","0.32230198","-0.4356942","0.57405823","-0.11526923","0.046105005","-0.0610816","0.021356666","-0.059144057","0.55369914","0.2653113","0.30791664","0.08210814","0.6403901","0.1837587","0.2061052","-0.3145375","0.16905187","-0.041391145","0.022930617","0.48100886","0.5538856","0.3275219","0.13876961","0.26251668","-0.20501725","0.2787611","-0.3924939"
"original","-0.5864473","0.46233857","0.06474119","0.5608625","-0.6501064","0.52484316","-0.43525857","-0.49493945","-0.25016764","-0.24073374","0.44515675","0.46204066","-0.64539385","0.40707383","0.69682837","0.2876298","-0.12778947","0.45791557","-0.071221374","0.2665293","0.7411181","0.5393359","0.061767653","-0.40372097","0.67881954","-0.38038358","-0.3823885","-0.515652","-0.43946326","-0.5895966","-0.2903588","-0.2924232"
"there","0.5402355","-0.08644163","-0.30425474","-0.6807711","0.2665314","-0.37878236","0.2380285","0.22816302","-0.7336915","0.2983612","0.5757275","-0.24643378","0.9541983","-0.617825","0.17766632","-0.47083092","-0.32551792","-0.34127337","0.6556455","-0.3819228","-0.5783875","-0.6785045","0.006905725","-0.20355602","-0.007789391","0.3941836","-0.0029366703","-0.28663138","0.31837112","0.41854286","0.6756332","0.58634645"
"versions","0.42213532","-0.056991626","0.68974835","0.39103633","0.37744585","0.17347614","0.65245384","0.4159552","-0.20605803","-0.1821479","-0.32820877","-0.51892793","-0.4966948","-0.010958924","-0.5388105","0.43585315","0.017168915","-0.55278975","-0.35532552","-0.5042499","-0.48173252","-0.2497672","0.7935471","0.24703026","-0.26711193","0.57381827","0.03992604","0.18654975","-0.30098453","-0.3269457","-0.10897733","0.22245702"
"many","-0.12540248","0.18568787","-0.2742366","0.2273103","0.060875524","0.040503006","-0.2273837","0.31012052","-0.22778302","-0.7840285","0.20017177","0.2695345","-0.30191877","0.029389795","0.66838413","-0.09568022","-0.03821837","-0.029345917","0.2168259","0.58920807","0.3454605","0.20390277","0.0640579","0.22971022","-0.3128812","-0.22889474","0.7429713","0.25259653","0.10755535","-0.32546076","0.3395503","-0.19812219"
"languages","-0.28683466","0.07093311","-0.19757487","-0.65850765","0.33431202","-0.18600735","-0.39818332","-0.27417418","-0.26908234","-0.26501715","0.13972573","0.012286682","-0.10550335","0.09905082","-0.37226835","-0.00028258812","-0.6564412","0.13972108","-0.36449927","0.04101586","0.5195058","-0.2359497","-0.3242255","0.52850693","0.6700318","-0.48097262","-0.53907657","-0.43398476","-0.234751","0.08574097","-0.4004283","0.22596762"
"peoples","0.33853897","0.37797928","-0.004139108","0.36252925","0.12873422","-0.16813347","0.32654354","0.07179721","-0.79561704","-0.43295637","-0.647791","-0.10961071","-0.039500963","0.4181289","-0.42018455","-0.06549561","0.51072896","-0.073426135","-0.36861366","-0.117813736","-0.5213634","0.471175","0.47151497","0.3313646","0.43878055","0.796596","-0.29866844","-0.4020049","-0.39147374","-0.4470555","0.055627685","0.2854718"
"foreign","-0.30002913","-0.3907834","0.25886175","0.27218077","-0.45887062","-0.47507113","-0.07113117","0.57290775","-0.33235747","0.25387713","0.51085377","0.5747858","-0.48907915","-0.14130491","-0.75904036","-0.39092335","-0.2478671","0.20367698","0.30728802","0.54495513","-0.69701946","0.4126453","-0.14907937","0.16411822","0.20519608","-0.3337888","0.2628329","-0.42140725","0.13068326","-0.16010532","0.4255101","-0.19944225"
"countries","-0.20821004","-0.21007955","0.34056962","0.21947867","-0.13198707","0.19043997","0.4961927","-0.6014484","-0.029254818","0.20103101","-0.27115625","-0.6244472","0.4377178","-0.40208727","0.16263597","-0.08214146","0.06037234","-0.4807729","0.047632802","-0.30375454","0.1486516","-0.5698033","0.03021485","-0.07665976","0.0026227986","-0.06773382","-0.5306607","0.417958","-0.2769156","-0.39030722","-0.49312907","0.05181948"
"need","0.27948037","0.42090228","0.24522313","-0.3658754","0.76160425","0.3664112","-0.0035028993","0.38339925","0.027955377","-0.26670834","-0.09074434","-0.34576547","-0.13106108","-0.07813899","0.1389594","0.42291495","-0.4855367","-0.003015049","-0.26590768","-0.23469833","-0.40452155","0.39076537","0.20584296","-0.5074009","-0.031843994","0.2641508","0.44222194","-0.18160246","0.5105305","-0.10316567","0.3210349","0.28416127"
"arisen","0.47174427","-0.11026017","0.2144409","0.43315902","-0.4786983","0.38323194","-0.5110525","-0.58166283","0.6561921","0.500448","-0.0040248428","0.3819343","-0.48905715","-0.009136852","0.025284179","0.54226327","0.48397422","-0.10339583","-0.14193825","-0.436748","0.51884407","0.31418604","-0.4258529","0.019266188","0.08308812","-0.34737518","-0.53868234","0.158287","-0.5661027","-0.4539331","-0.9337484","0.45650664"
"preparing","-0.17181496","0.043905914","-0.33449423","-0.16267832","0.5324157","0.06061176","-0.15428196","0.22557549","-0.6918943","0.32556292","0.3199677","0.32533544","-0.28962994","-0.5050347","-0.27604756","0.088080786","0.3079988","-0.2666893","0.37117428","0.60420007","-0.07631024","0.32245207","0.00993934","-0.07817573","0.12028225","-0.40074304","-0.47148326","-0.13542542","0.050578028","0.06389366","0.54496866","0.36930534"
"task","-0.37739968","-0.54068905","0.082743935","0.31936422","-0.2102139","-0.58381027","0.104354076","-0.53665954","-0.37824842","0.11528322","0.19121224","-0.46178916","-0.13714913","0.2145726","-0.107373774","-0.2612678","0.2081947","0.23411639","0.24569423","0.40015715","-0.4701199","-0.35141554","-0.7501122","-0.3532474","0.31531793","-0.19369698","-0.12866297","-0.5664301","-0.0391412","-0.53745186","-0.52184993","0.6628732"
"strengthen","-0.35892636","-0.5333987","-0.21095052","-0.6758127","0.7663477","0.2225541","0.07813229","0.62355137","-0.275428","-0.0068800272","0.08493414","0.84640115","0.029731737","0.022723217","-0.69132525","-0.30085823","0.2036846","-0.24884738","0.15536366","-0.4283925","-0.3040843","0.22103861","0.46910134","0.43221605","0.5812112","0.5446613","0.29510316","0.057017934","0.198062","-0.070036285","-0.46441084","-0.64558667"
"new","0.17984068","-0.02775841","-0.45962444","-0.33107582","0.22498037","-0.23908901","0.43247643","0.13543753","-0.073207185","0.095169835","-0.14326602","0.08003345","0.031052856","-0.30459422","-0.33682528","-0.33860463","-0.23999345","0.04243095","0.03815126","-0.03659202","0.15491278","-0.293171","-0.32451802","0.11307009","0.2791526","-0.35081455","-0.43803787","0.4395959","-0.56280255","0.10287386","-0.33874106","-0.6887329"
"propositions","0.12846059","0.014876031","0.22599718","0.2703389","0.7935452","0.757958","-0.41301095","0.2803211","-0.976505","-0.50634587","0.23988232","-0.4158268","0.45010683","0.8107536","0.32656863","-0.37209016","-0.25826234","-0.32028985","0.10668677","0.56467927","0.44270614","0.067844816","-0.36375257","-0.18162878","-0.35449123","-0.20919028","0.5675985","-0.80832833","0.23895873","-0.6900989","-0.18084747","0.59259015"
"facts","0.21512699","0.14434853","0.55705494","0.22653475","0.27748016","-0.85443544","-0.18277965","-0.92674905","-0.68822515","0.67187303","-0.29701522","0.0766968","-0.42406583","0.5228776","-0.13824981","-0.001565995","0.56094146","0.052782103","-0.54166025","0.08498894","0.09920987","0.4892394","-0.24217509","0.077841595","-0.7151725","0.44598833","-0.116377845","0.4110398","0.7117929","-0.5587905","0.43951464","0.17666946"
"reflecting","-0.15181205","0.4036355","-0.6010056","-0.20507504","-0.3543206","0.35931423","0.23265074","0.2804065","0.5633572","-0.37030086","0.29264206","0.44288552","-0.3889977","-0.7147529","0.122879155","-0.063914046","-0.18284945","0.08310958","0.1947248","0.11911371","-0.78319263","-0.30473936","0.2888891","0.4625271","0.52149665","-0.25606197","0.37816826","-0.22495174","0.06978193","0.66360354","-0.017671572","-0.5754823"
"steady","-0.33799902","0.16942026","-0.58484507","-0.59520525","0.43457603","-0.49926013","0.005379896","0.64030313","0.26843598","0.10910903","-0.44348672","0.17940873","-0.34910008","0.8329666","-0.58442676","-0.010107351","0.516586","0.53119797","0.10911748","-0.157708","-0.25631765","0.27163923","-0.36749965","0.29535848","0.07718069","0.083569996","-0.46809614","0.12847684","-0.14432122","0.43107888","0.14345111","-0.6530811"
"growth","0.3799809","-0.48081592","-0.28129286","0.38977316","-0.26937792","0.06075247","0.09049906","-0.090879425","-0.54824126","0.11627594","0.33927354","0.053804964","0.26735473","-0.49968868","0.5912916","-0.029238967","-0.7094786","0.54696566","0.7552668","0.261038","0.4272643","-0.28240284","-0.52083564","-0.12448486","0.043502998","0.41920462","-0.16976246","-0.62922174","0.3621069","0.22823755","-0.4760101","-0.06926282"
"socialist","0.27763224","0.41527647","0.029376844","-0.2591958","0.3069362","-0.21649897","-0.51541656","-0.12391049","-0.07756487","-0.09473981","0.37486067","0.0058974577","-0.12898591","0.18759908","-0.23136537","-0.44948724","0.092796005","-0.10548233","-0.054367874","0.33374852","-0.2219486","0.03235337","-0.060906477","0.74157184","0.081274845","-0.079641916","-0.040160425","0.02817194","-0.3097583","0.14049588","0.13538179","0.17608932"
"people","0.20972393","-0.06278601","0.05054469","-0.2823759","0.39592043","-0.11348412","-0.2807123","0.21228711","-0.59252393","-0.3277131","-0.058344264","0.37544516","0.25389132","0.30389822","0.18275928","0.014743372","0.16885841","-0.062684394","-0.31364438","0.13581346","0.14199431","0.0066242106","0.46608838","0.20968898","0.041677978","0.45535728","0.3687972","-0.12404414","0.20491102","-0.11014186","0.2487302","-0.23726404"
"democracy","0.81595266","0.31220517","-0.041243244","0.3852142","-0.03721062","0.10146103","-0.59971595","-0.45879495","-0.62614965","0.46254212","-0.3501863","-0.58534104","0.23296507","0.0646591","0.34778744","-0.6836361","-0.0056276484","0.15040506","0.26104146","-0.10962684","-0.16494928","0.43462825","-0.29199904","-0.110373974","0.039709445","-0.2862331","-0.19515271","0.058434296","-0.45222515","0.32766205","-0.07382027","-0.5065634"
"intensification","-0.27803424","0.18817389","0.088095","0.65249807","0.10502259","-0.4498242","-0.1629261","0.18624435","-0.016732669","0.39354825","0.17873676","0.5524243","-0.25435558","-0.059846256","-0.4018263","0.13293274","0.48026899","0.54155606","0.4364484","-0.40218407","0.2316078","0.27512333","0.6263851","0.31531426","0.5429402","0.1553347","-0.5138373","-0.109926574","-0.35555714","0.41685975","-0.064193495","0.4303281"
"general","0.09088476","0.46460986","0.41680628","0.70819944","-0.57813066","-0.09432422","0.20930165","-0.2517511","0.78857774","-0.33041155","0.33763117","-0.42370453","-0.53749543","-0.2043339","0.7530543","0.082014","0.101979695","-0.5331903","0.14641042","0.1170074","-0.23028204","0.37669435","-0.31130525","-0.20659468","0.24306753","-0.3431669","-0.24062894","-0.029097019","0.22236119","-0.15375149","-0.26814306","0.52186656"
"crisis","0.41066238","-0.012651438","0.50681144","-0.82113653","0.5332738","0.105396025","0.37730548","-0.12990744","-0.6165531","0.2160504","0.14249131","-0.28424528","0.4065848","-0.59451807","-0.35680827","-0.23953716","-0.61214125","-0.26014137","-0.45476145","0.3959884","0.38056293","-0.6184545","0.18058087","0.31517118","-0.56754","-0.35148725","0.24695614","0.22376393","0.15483196","0.24875371","-0.35948172","-0.32713136"
"capitalism","0.3577075","0.55602235","0.2885441","0.63604325","0.18351026","0.30805087","-0.059709143","-0.38512763","-0.68237084","-0.10315062","-0.58335435","-0.11478062","-0.06806286","0.50756073","0.50608444","-0.45108974","-0.17749134","0.36144957","0.09931758","0.37035823","0.5580642","0.09304672","-0.5505322","-0.718671","-0.34321985","0.31745067","0.02044666","-0.55948275","0.21137987","-0.4253216","0.57262766","-0.0017479594"
"endeavoured","0.55440366","0.10053663","-0.037593897","-0.05379545","0.58952445","0.33922833","0.24804975","0.58059585","0.4867345","-0.037938945","-0.31778356","-0.46702257","0.44664422","0.34691444","-0.1351497","-0.29002604","0.07895489","-0.29180786","0.4411804","-0.49346414","-0.90103775","0.22424586","0.13089983","0.5386669","-0.5281297","0.33423424","-0.3921877","-0.5488905","0.6162172","-0.18983637","-0.1860817","0.13212194"
"take","0.2222516","-0.7375293","-0.44134656","-0.058312885","-0.34684166","-0.056960188","-0.14829731","-0.4331647","-0.008471776","0.11006256","0.23899326","-0.12999326","-0.03625418","-0.4507101","0.34786776","0.18938246","-0.13576517","0.6456611","0.34289345","0.056489564","-0.37296504","-0.3187111","0.21979083","0.09615175","-0.46954092","-0.46270278","-0.13240802","0.5639228","-0.20500198","0.6888726","0.540369","-0.055345867"
"possible","-0.72451824","-0.06901002","-0.42328417","-0.3707538","-0.5321112","-0.69822544","0.09509232","0.014360891","0.28219277","0.18697585","-0.09425289","-0.13435557","-0.20437816","-0.08765487","0.40158516","-0.06874733","0.1949564","-0.09422804","0.22348964","0.369983","0.2669486","0.1461216","-0.2134984","0.28637668","0.5145899","0.14743695","-0.078150935","-0.084880725","0.5474412","0.4743505","-0.26308766","0.18677455"
"experience","0.22024533","-0.2546185","-0.31193155","-0.24479754","-0.083635315","0.2785191","-0.44167095","-0.54444075","-0.59782344","0.019880865","-0.00813731","-0.16827397","0.3717903","0.38712436","0.27929094","-0.04662623","-0.3690551","0.41170704","0.5002703","0.28595507","-0.25531524","-0.25244033","-0.28506255","-0.06314746","0.08858054","-0.12543267","-0.11994165","-0.30104738","-0.39790645","0.022045765","0.116106585","-0.56269574"
"gained","0.718248","-0.06162937","0.29144794","0.5056599","0.45975757","-0.23277378","0.61327755","0.41995502","-0.13905801","-0.018573362","-0.066590875","0.33740532","-0.19131072","-0.5938281","-0.24811356","0.40018362","-0.41888928","-0.13632862","-0.8606898","-0.21811587","0.92303956","0.38078448","0.00790494","-0.25268266","0.037725624","0.008130675","0.0797849","0.3927239","0.012816202","-0.15136042","-0.2995007","-0.37044773"
"using","-0.660793","0.17011224","-0.2383318","-0.21074802","-0.33003664","0.495012","0.286617","0.2523367","0.75505286","-0.35075402","-0.13512549","0.32814583","-0.0080215195","0.19573109","-0.18505223","0.5192677","0.45353895","0.3363724","0.5918674","0.008136155","-0.5994493","-0.2783897","-0.48785257","0.4369585","-0.33272204","-0.18786423","-0.34460554","0.28614902","-0.15947632","0.28931054","0.19981848","0.07995446"
"higher","-0.16463593","0.24814053","-0.036078077","-0.09485554","-0.23675385","-0.28669095","-0.2663773","-0.41475993","-0.66560286","-0.6019922","-0.57820904","0.09708407","-0.8791413","-0.16898577","-0.6819665","0.88532066","-0.020368677","0.05378678","-0.3569893","-0.31616494","-0.15857601","-0.5081797","0.12902184","0.5824303","0.1714063","0.44982722","0.24530986","0.31545407","-0.029532073","0.024488458","-0.41241965","-0.53706694"
"educational","0.1732215","-0.0916763","0.39630803","0.4092905","0.28570527","0.042351574","-0.22765137","0.8633661","-0.6883725","0.67272633","0.9725915","0.14434202","-0.20313442","-0.24816215","0.65801173","-0.14514236","-0.2519075","-0.3514619","-0.08451551","0.5901065","-0.33763465","0.13520145","0.13171966","-0.46581328","0.43735555","0.2817185","0.21423411","-0.7620452","-0.5122076","-0.15027404","-0.24050663","0.07202821"
"institutions","-0.23595539","-0.61746037","0.39397585","-0.60497165","-0.52891564","-0.018272942","0.41118094","-0.42246354","0.3532619","-0.85151404","-0.39164248","-0.3356616","0.44315758","0.64001095","-0.32152253","-0.57282156","0.044939835","0.46449885","0.33678892","-0.5711137","0.3940711","-0.38173348","0.1732243","0.2343314","-0.101648584","0.50828546","-0.36753795","0.35840738","0.78730935","-0.21453686","0.74336994","0.07231304"
"schools","0.13321334","0.09161282","-0.64033794","-0.22254032","-0.3509943","0.48118702","0.7375267","0.30108532","0.11881475","-0.4050068","0.4576381","0.85223854","0.10776226","-0.11214467","-0.48257458","0.15839134","0.39851242","-0.3040232","0.15766494","0.059561264","-0.40771303","0.2832135","0.61779326","-0.19608812","-0.3064953","-0.79151756","-0.5272625","0.85759854","-0.29114076","0.5030389","-0.24673855","-0.21203953"
"study","0.09331235","-0.3791625","0.38025963","-0.49041292","0.4571822","0.18461053","-0.4042719","0.087479115","-0.048532434","0.0015566213","-0.3371163","0.018313028","0.11704189","0.73809236","0.5151258","0.5165787","0.23924857","0.059266552","-0.5599232","0.21140325","0.4925579","0.3411727","-0.5270029","-0.089552","0.32467434","0.8453534","0.4681017","-0.22075865","0.44289923","0.37651488","-0.28007627","-0.39191207"
"groups","0.24195862","0.66119313","0.20092735","0.18086511","0.31421608","0.3103076","-0.50400454","0.23865403","-0.3987619","-0.07081215","-0.18128352","0.2016575","-0.48695806","-0.24290852","0.072128296","-0.57664484","0.37165257","0.07932706","-0.29416162","0.011025218","0.14390682","0.44544342","-0.21557128","-0.46680975","-0.07047112","0.2964456","0.36165643","-0.11806691","0.08033034","-0.5552974","0.052388187","-0.0012479997"
"purposes","0.5782274","0.16187604","-0.35982063","0.19992185","0.30809325","-0.33125147","0.04338527","-0.18644364","-0.04112826","0.5590103","-0.5641552","-0.5796455","0.23181985","-0.13120788","-0.5707573","-0.42393088","0.49982858","-0.20468988","-0.24053043","0.09677775","-0.083116375","-0.4163132","-0.39698765","0.5561126","-0.14325577","-0.25436965","-0.9271658","0.51179826","-0.048805274","0.099592604","-0.20366701","-0.49271742"
"individual","-0.39803243","0.22266956","-0.7274789","-0.34071046","-0.46942997","-0.363032","0.29834718","0.25271043","0.2528375","0.16085964","-0.04833701","0.42639983","0.29548937","-0.3018106","-0.5101957","-0.23367646","-0.19886787","0.12036329","0.5343542","-0.35902777","0.22440241","0.45474777","0.42211017","-0.020853356","0.16063626","-0.5748294","0.59963924","-0.30808684","-0.56077325","0.41517985","-0.34730113","-0.41223523"
"during","-0.053606637","0.710528","0.08622225","0.60702384","0.2070811","-0.31365475","-0.32813087","-0.37986186","-0.5004014","-0.20606616","-0.384906","-0.20346372","-0.4159251","-0.19669779","0.6428924","-0.5697911","-0.3670059","0.3131818","0.14790197","-0.14265405","-0.41472927","0.16247332","0.3475455","-0.022804271","-0.5143956","-0.25167626","-0.22148988","-0.22859538","0.4855008","-0.52986944","0.555973","0.6048286"
"past","0.09488115","-0.088906914","1.0559019","-0.02650835","-0.027625171","0.36504328","-0.5205904","-0.075466566","-0.030283164","0.31100637","0.23395938","0.00018269251","-0.39802927","-0.30681208","0.071906954","0.40668723","0.5627146","-0.39951798","-0.76438785","0.54003936","0.44280213","-0.33473435","0.29914024","-0.61219895","0.83885205","-0.0074432166","0.0047509903","0.7140562","-0.20196104","-0.5522545","-0.56338596","0.1927247"
"year","0.063017674","0.16520348","-0.59816104","0.5332741","0.032882772","-0.19174093","0.23263408","0.07177654","-0.5724041","-0.7999765","0.35170946","-0.43015784","-0.06887579","0.49008223","0.18270938","-0.65917283","-0.36542162","-0.2699836","0.83437043","0.096582256","-0.8067983","-0.14803405","-0.4168224","0.7115944","-0.80586445","0.4600615","0.254564","-0.71164846","0.09983671","-0.08647084","0.7139357","0.29966626"
"discussed","0.52975565","0.4840791","0.49706507","-0.35934454","0.36352962","0.03920475","0.3642668","-0.40431923","0.07337417","0.50306296","-0.40741694","-0.32378277","0.498477","0.36567262","0.43798384","0.0729271","-0.12175124","-0.26516983","-0.69635856","-0.09007707","-0.098903954","0.05775072","0.08395558","0.19548696","0.4236788","0.41267","-0.3987677","-0.002111316","0.5336834","0.30553776","0.31708044","-0.10816008"
"university","0.3817858","0.73957604","0.5294844","0.4557064","-0.40137264","-0.09093897","-0.027033608","-0.11961865","-0.6952235","-0.19899812","0.21769665","0.61909217","-0.5244762","0.075070396","0.35998908","-0.35004026","-0.37065524","0.23850924","-0.31175545","0.9089315","0.39307573","0.20108649","-0.34242907","-0.0060316743","-0.24132739","0.6755665","0.3311281","-0.09704602","-0.082596496","-0.0893406","0.12525417","-0.22215672"
"departments","0.000011514436","-0.62901723","-0.63229334","-0.25304875","0.014975563","-0.29533362","-0.05224329","0.047398094","0.7054113","0.08166561","-0.15089197","-0.31405625","0.49906215","0.020996567","0.32815894","-0.059177622","0.6050735","0.21125996","0.5382964","-0.46702307","-0.36011773","0.07867639","0.17690007","-0.27873197","-0.41946954","-0.3134254","-0.033808533","0.06875561","0.09353028","0.35427257","0.1877353","0.030085217"
"sent","0.7589607","0.3804649","0.2916177","-0.085266605","-0.4603496","-0.62877697","-0.56137925","-0.0925229","0.8183363","0.52681607","0.04231402","-0.32584152","0.49728957","0.10481238","0.034034345","-0.4389627","0.51110744","0.7217635","-0.28001213","-0.41515246","-0.17041013","0.1952518","-0.38561147","0.34844428","-0.15855016","0.41842502","-0.3064657","-0.195115","-0.12928241","0.39443225","-0.38654363","0.07045262"
"requests","0.53009427","-0.34201318","-0.058034416","0.4696703","-0.65621775","-0.582956","0.21811765","-0.53402966","-0.15694198","-0.38856056","-0.17986386","-0.55815405","-0.12872992","-0.5360983","0.8685583","-0.53406006","-0.62012327","0.01586178","0.05444693","0.5984054","0.005152414","0.046274472","-0.30939603","-0.36892113","-0.22014937","-0.34771958","-0.098894626","0.08201471","-0.32396287","0.44716993","0.2005259","0.3304485"
"received","0.42024437","0.390576","-0.48812315","-0.29021162","0.6429977","-0.14969264","-0.22851859","-0.027351208","-0.7034823","0.3015925","-0.047094632","-0.07139072","0.34877637","0.2847761","0.19782181","-0.535242","-0.29862896","-0.094726086","0.0515821","0.3318161","-0.25678208","-0.22657426","-0.33996457","0.5725088","0.6600375","0.008546004","-0.14047432","-0.6158305","0.6227105","0.08773163","0.4305884","-0.2680785"
"letters","-0.10618319","-0.05669972","-0.42227918","0.41924834","-0.269325","-0.45432928","0.10903992","-0.43071857","-0.06931958","0.13860896","-0.17590824","0.20013586","-0.36458167","-0.101870656","0.42905954","-0.2883389","-0.40164483","-0.0788703","0.09843595","-0.040486272","-0.0039407685","0.037815202","-0.17219234","0.18269281","0.036724992","0.1880109","-0.022600885","0.44580936","-0.10106713","-0.29195064","0.15316568","0.2589165"
