"token","embedding1","embedding2","embedding3","embedding4","embedding5","embedding6","embedding7","embedding8","embedding9","embedding10","embedding11","embedding12","embedding13","embedding14","embedding15","embedding16","embedding17","embedding18","embedding19","embedding20","embedding21","embedding22","embedding23","embedding24","embedding25","embedding26","embedding27","embedding28","embedding29","embedding30","embedding31","embedding32"
"institute","-0.4219164","-0.11692918","0.09746163","-0.4815931","0.17083107","-0.12545606","-0.3418812","0.101697795","-0.6785031","-0.512176","0.4401746","0.50060815","0.20955466","0.39022127","0.36754182","-0.23422943","-0.063374765","0.051909268","0.2816455","0.35579443","0.2516187","-0.30189303","0.2174415","0.02184306","0.09907778","0.32658148","0.17898268","-0.4138332","0.41659808","-0.24506018","0.5871253","0.10694327"
"of","0.25486395","0.4144387","-0.074261695","0.2557795","-0.3553589","0.04388845","-0.13890047","-0.44758675","-0.5368154","-0.63034266","-0.16733597","-0.486614","-0.36327413","0.1284811","0.42860568","-0.38164234","-0.6260592","0.5692121","0.5232959","0.49627733","0.14698857","-0.29450637","-0.3352252","0.003823196","0.12610967","-0.15527512","0.13779978","-0.3703755","-0.14145976","-0.46597233","0.2760263","0.0000642363"
"academy","0.04697018","-0.18081029","0.068843074","0.2541886","0.19495064","-0.034327146","0.005906093","-0.116081394","-0.035248633","0.56506187","-0.2535715","-0.42349434","0.034288894","-0.21668923","0.068171486","0.051238175","-0.24475256","-0.11536764","-0.15664591","-0.3347724","-0.033777338","0.088268116","-0.27882513","-0.2917933","0.07372485","-0.06133892","-0.1930725","0.02206497","0.09416395","0.30441162","-0.32197297","0.30323145"
"sciences","-0.05218938","0.5730584","0.075983115","0.061017103","0.22470944","0.19919509","-0.24075374","0.31241113","-0.6779012","-0.6017806","-0.05063929","-0.013335994","-0.5060358","0.017787013","-0.01810604","-0.26568174","0.061120756","0.091178805","0.30467823","0.49672103","0.14308229","0.14491747","0.31690866","0.24941757","-0.0599992","-0.02126604","0.41511923","-0.38483253","0.056348782","-0.5320303","0.17210811","-0.18963252"
"u","-0.10378864","0.12448441","0.20647083","-0.45285997","0.15772069","-0.06884137","-0.10764983","0.40979666","-0.14940977","-0.39084688","-0.11362732","0.5243323","0.048660792","0.12911798","0.43846488","0.077553645","0.41280025","-0.19149622","-0.66850424","0.23203117","0.41587028","-0.05141859","0.25906894","-0.16162547","-0.14436568","0.4665222","0.2684676","0.17852703","0.3612072","0.3440115","-0.067006595","-0.07073115"
"s","-0.19370326","-0.073050275","-0.2404181","0.5398256","-0.50021935","0.14725758","0.0070643304","-0.5221562","0.39142305","-0.32606816","-0.12590589","-0.28194362","-0.4539895","-0.27570432","0.1789951","0.34602934","-0.37257525","0.19577172","0.57738286","-0.29286724","-0.009705131","0.1034233","-0.23378842","-0.43535063","0.35282323","-0.3370499","0.2343413","0.08726027","-0.4370222","-0.47917667","0.059204243","0.46580672"
"r","0.059823528","0.25993377","0.004099742","-0.30686536","0.42207378","-0.16647518","-0.051899273","0.2959711","-0.78788584","0.10744019","0.24664478","0.020494658","-0.13283028","0.04753193","-0.5545969","-0.1831937","0.14884536","-0.28837866","-0.17862593","0.28651938","-0.40997425","-0.40777633","0.37116978","0.65632606","0.00842594","0.033624772","-0.16451898","-0.14820626","0.15341015","-0.33919108","-0.13081115","-0.42354208"
"was","-0.1101809","-0.3495999","-0.15513082","-0.54718673","0.36710566","-0.12350577","0.26173624","0.35446054","-0.9026803","-0.45555502","0.5125307","0.14380983","0.07445054","0.26996794","-0.18566664","0.01999232","-0.21526226","-0.22179374","0.3485624","0.3344666","-0.14688915","-0.5692257","0.37671483","0.7733338","0.012897938","0.33119142","-0.34769976","0.27616197","0.074236274","0.0363844","0.21787377","-0.4582791"
"first","0.071801","-0.19655494","0.07004846","0.1162162","0.08691297","-0.33543962","-0.3287408","-0.22955188","0.08935781","0.39959344","0.14182301","-0.00220201","0.025961602","-0.21691903","-0.002838536","0.044031557","0.21400519","-0.20926845","-0.14660403","-0.12106053","-0.31261986","0.2907386","-0.18955821","-0.13847372","0.14054981","-0.044022962","-0.034798536","0.050766636","0.10207389","0.045679547","0.0030472837","0.26511127"
"published","0.46613652","0.28696203","0.39218152","0.11943983","-0.027366485","-0.06832072","-0.16134317","0.47921464","0.18681179","-0.089297086","-0.30793366","0.058308817","0.09424715","0.12103093","0.47943386","-0.18882671","0.23308277","-0.08834085","-0.56541544","0.16435187","0.095074445","0.36138305","0.40202644","-0.0008097076","-0.40492865","0.5396177","0.27443522","0.22041543","0.04428618","0.3171167","0.24646892","-0.15099983"
"in","0.2584397","0.14209893","-0.12038691","0.31487855","0.19608651","0.13306922","0.16729033","-0.44615468","0.4109323","0.53960943","-0.2480372","-0.4144949","0.088190846","-0.054936104","0.06543497","-0.37881857","-0.30362746","0.36060026","0.4403234","-0.28123492","-0.21782087","0.051593427","-0.52376026","-0.113256946","-0.08638887","-0.32310158","-0.42292053","-0.3232078","0.13854206","0.29613212","-0.32914722","0.050921835"
"1954","0.19158219","0.17715545","-0.034057457","-0.37703505","-0.2341148","0.35404608","0.34313422","0.6685143","0.58900505","-0.2013169","0.6646784","0.47243303","0.10890846","-0.06960281","0.25742367","0.33405605","0.18246083","-0.09089466","0.4277655","0.30972108","0.25328603","-0.08152069","0.12932062","0.41182533","-0.45659846","-0.02551624","0.05002542","0.15354441","0.2222825","0.48636746","0.44486704","-0.12642772"
"regarding","0.2731377","-0.36408243","-0.11908881","-0.2811779","0.3424732","-0.23350582","-0.3794848","-0.10218125","-0.41580203","-0.05301181","-0.3094108","0.03879336","0.46827182","0.4313846","0.30439836","0.090232395","-0.029358814","-0.17006724","0.1681485","-0.28059664","-0.11755408","-0.21107769","0.258099","0.17468208","0.047032114","0.42402893","-0.26854855","0.17835434","-0.27717617","0.35015404","0.030564675","-0.28704467"
"as","-0.11835293","0.04562761","0.029255666","-0.047267027","0.12944771","-0.086298965","0.17329106","0.2554835","-0.045988373","0.3635306","0.22245334","0.10240742","0.047242247","-0.17311597","-0.15567075","-0.14630948","0.039902594","-0.15093407","-0.02634889","0.058417626","-0.4406587","-0.08767888","-0.09992409","0.1472557","0.14009541","0.198126","-0.39948595","0.021684485","0.26129502","0.031835992","-0.32799906","-0.15172851"
"science","0.47356126","-0.3607394","-0.30227435","-0.15679345","0.45146006","-0.16391861","-0.1692806","0.033761285","-0.3515966","-0.20075785","0.26695612","0.22529982","-0.09453558","0.35929117","-0.27555862","0.22940512","0.1759347","0.14510149","-0.009514638","0.06277915","-0.12523581","0.22360827","0.26125786","0.34311086","-0.5900505","-0.14512125","0.45147705","0.061408885","0.28176942","0.46220756","0.43789142","-0.65858877"
"laws","0.048810102","0.29857945","-0.050231945","0.31370747","0.29162577","-0.103024565","0.060433544","-0.272221","-0.35662347","0.2607479","-0.4805171","0.06950319","-0.14278711","-0.17830172","-0.23100418","-0.09958217","0.11306866","0.21810935","-0.17491415","-0.046065774","0.046796493","0.0483925","-0.21983947","-0.15849239","0.20209222","0.009282616","-0.25220796","-0.19192006","0.21644418","-0.020686466","-0.1435727","-0.17227566"
"development","0.06291822","-0.034068134","0.1578019","-0.0021230276","0.08288754","-0.27001268","-0.046586398","-0.06777946","0.13893317","0.013603503","0.26927805","0.043771062","-0.089822724","0.41579387","0.25213906","0.10561845","0.16673647","0.1603333","0.11843326","-0.07897082","-0.36061686","0.016613096","0.035599366","0.26778832","-0.25854522","0.5096583","-0.07891654","-0.25825644","0.40227705","0.2997654","0.110150814","0.2510754"
"relations","-0.38227382","-0.15266675","-0.15543033","-0.1761419","0.24289854","0.06821897","0.2052372","0.27069834","-0.120419055","-0.29838473","0.22756588","0.3248236","-0.43334895","-0.08848439","-0.32858378","0.49001452","0.14672364","-0.47446108","0.048662607","-0.20016679","-0.34542897","-0.23525685","0.3028957","-0.0063327067","0.11025053","0.07623853","0.11129049","0.2876212","-0.08673486","-0.29921123","-0.1594721","0.10550419"
"production","0.13545033","0.073747195","0.005102367","-0.04005588","-0.025001206","-0.3039348","-0.45132646","0.014858941","-0.48324764","-0.051924605","-0.08247367","-0.117557965","0.20201932","0.16355819","0.32676268","-0.2297099","0.09313883","0.031268675","-0.14796823","0.31917435","0.110629946","0.16719772","-0.08702662","0.107771866","0.08017036","0.23009439","0.19771147","-0.051008865","0.25480247","0.036757745","0.32184854","-0.24936435"
"human","0.36197808","0.25846362","0.3266429","0.20429511","0.08395403","-0.26085055","0.0012487329","-0.22670622","-0.28064102","0.1665886","-0.17984703","0.08872338","-0.14087377","-0.19261706","0.12098244","0.31264305","-0.18352033","-0.19231363","-0.36189646","-0.027772257","0.074695915","-0.16046822","0.20955788","0.05274184","0.053964622","-0.03963028","-0.2332208","0.11343138","-0.00812631","0.064010784","-0.0881323","-0.1111158"
"society","0.010824296","-0.25047013","0.054804616","-0.07761354","0.32633704","0.12239351","0.18160285","0.2305584","0.31671542","0.3375059","0.08483347","0.19686659","0.23779508","0.07284279","0.18304998","0.11028297","0.2774601","-0.08135848","-0.17403959","-0.28966966","-0.26029953","-0.0016818321","0.17424123","-0.012865626","-0.23403068","0.33264178","-0.055895902","0.09394062","0.24199814","0.4465221","-0.18055455","-0.047267232"
"it","-0.43555215","0.1180371","0.09748683","-0.2923583","-0.15216018","-0.48359585","-0.47554296","0.025829833","-0.29111373","-0.18114774","0.3307893","0.08663799","0.24740502","0.1083742","0.075562306","0.1797471","0.30890644","-0.40333495","-0.43603015","0.14103429","-0.1787687","0.17183484","-0.24669428","-0.010493632","0.5257232","0.5130657","-0.13096902","0.20540439","0.39843172","-0.19299003","0.034010272","0.4761048"
"deals","0.6303918","-0.6535404","0.4393745","0.04038936","-0.049821675","-0.48770344","-0.09877798","0.05448209","0.500126","0.08903483","-0.51321644","-0.29203206","-0.5697498","-0.14002472","-0.37087828","0.07521453","0.30635828","-0.11471832","-0.27461582","-0.5665127","0.15911086","-0.38889813","0.12718944","0.037119392","-0.3862375","-0.25076476","0.4238033","0.47601867","-0.3331716","-0.34488386","0.23478483","-0.32377762"
"not","-0.3263092","0.026765857","-0.14622043","-0.068551935","0.0057214294","0.06900539","0.34100172","-0.04587266","0.0018115117","-0.5983659","0.4202879","0.24945584","-0.50245464","0.35637835","-0.217452","0.2970935","-0.11204949","0.16289586","0.30940306","-0.25534475","-0.16301392","-0.2638275","-0.09910668","0.14788331","-0.041804463","0.19934414","0.19020234","0.06500092","0.0023753163","-0.29181606","-0.182944","0.23374827"
"only","0.28510666","0.3626357","0.13899435","0.27206978","-0.05016272","0.10058671","-0.13961248","0.1176238","0.03015508","0.16054088","-0.1761371","-0.29080167","-0.35822445","-0.3327362","0.47837296","-0.20742759","-0.1746511","0.026971586","-0.21530159","0.37312734","-0.04954036","0.120764844","0.34442666","-0.22689009","-0.18520792","-0.17910421","0.123387046","0.16443528","-0.16085999","0.20130862","0.12688689","-0.112407885"
"with","-0.0033969067","-0.029851913","0.05841382","-0.08668372","-0.1047461","-0.25644383","-0.20182888","-0.12327284","0.020214207","0.23706551","-0.08949866","0.01962139","0.16801767","0.16134101","0.18983771","-0.11421859","0.14036517","0.09175302","0.18042102","0.035063192","-0.34120637","-0.051126212","-0.153384","0.09341573","0.19053967","0.37715912","-0.31292945","-0.13191833","0.1994464","0.30270535","0.050168846","0.08516233"
"capitalist","0.029368002","-0.0002596934","-0.61052775","0.13230817","-0.066891186","0.18641391","0.31225675","-0.20111012","-0.51344573","-0.15169086","-0.5037666","-0.18008916","-0.15512946","0.27961883","-0.010846552","-0.19941527","0.21005206","-0.0053923363","0.3031263","0.25171268","-0.03981399","0.39991435","-0.4077461","-0.44579944","-0.4273038","-0.08890522","0.48899785","0.064490005","0.10399299","-0.28395906","0.30503157","-0.27015027"
"economic","0.18122719","-0.10856062","0.25706455","-0.00900365","-0.18961534","-0.3357695","-0.22189917","-0.17102338","0.3525278","0.2213031","0.10038689","-0.28385502","0.2601471","-0.12872998","0.38744807","-0.042940468","-0.104738094","-0.13903046","-0.13328098","-0.16176082","-0.074029244","-0.093487404","-0.016187556","0.05625964","0.21004176","0.060169943","-0.030980594","0.08278295","-0.009919929","0.20292681","-0.25258234","0.07778183"
"system","0.5829637","-0.2430957","-0.20575467","0.053168498","0.45900008","0.66780585","0.09183409","0.13077173","-0.037288647","-0.35456634","0.15053079","-0.18744189","-0.20593897","-0.19886221","0.29185894","-0.123890005","-0.52429056","-0.03851925","0.1966823","-0.21180442","0.40447938","-0.530549","0.36020786","-0.100882664","-0.3894817","-0.3852203","0.06295457","0.26017958","-0.2523539","-0.24277472","0.30510807","-0.43606886"
"but","-0.0493651","-0.03881014","-0.15123808","-0.32914093","-0.07205095","-0.28493342","-0.28475612","0.11522315","-0.35674858","-0.25478113","-0.056227803","0.31892735","0.21188848","0.21572018","0.34435746","0.13336442","0.13225377","0.14419138","-0.3450683","0.18477453","-0.009621035","-0.2446642","0.1694187","0.37329856","0.44298434","0.39429364","-0.06628813","0.17645375","-0.12463653","0.051693574","0.12379674","-0.344842"
"also","0.1637971","-0.027677258","-0.28393555","-0.40943143","0.46300054","-0.20799798","-0.2560028","0.17806076","-0.37650225","-0.130802","0.51061815","0.21104743","-0.049491998","0.71572906","-0.14244902","-0.18332934","0.24319962","0.41030526","0.454336","0.4046495","-0.5505346","-0.053240165","-0.097630434","0.68761194","-0.4790725","0.5017968","-0.16797273","-0.42216936","0.5888417","0.32975954","0.53183717","-0.31343007"
"pre","0.2383872","0.5659473","0.43069068","0.5565675","-0.41871327","0.32691476","0.19008364","0.076058194","0.23453069","-0.55230427","0.0041466015","0.09412783","-0.6046297","-0.60322297","0.38289157","0.13076535","-0.70938206","0.49345908","-0.10034468","0.41349655","0.302684","0.09032083","-0.062456306","-0.13749844","0.071416825","-0.3492516","0.15202412","0.038144067","-0.2613951","0.05400949","0.08009125","0.35331413"
"and","-0.00045923202","0.30859968","0.4517631","0.0023364848","-0.012933922","0.19053212","-0.31483278","0.26232833","-0.19145314","-0.64773947","0.1187061","-0.18716289","-0.48910764","-0.13835083","0.2355321","0.16832633","-0.15216482","-0.34709385","-0.2859807","0.32572684","0.12543881","-0.36277077","0.3996459","-0.006614637","0.037526753","0.089804396","0.3675418","0.22272396","-0.19331276","-0.5122484","0.27558413","0.3523465"
"considerable","-0.07324942","0.630609","0.75627553","0.13776621","0.003287498","-0.16943559","-0.58009523","0.10990949","-0.7036089","-0.099358596","0.011951699","0.3447088","-0.45268077","-0.099242","0.07893679","-0.6256528","-0.33694527","-0.10679835","-0.41256645","0.64998114","0.35544297","-0.1930965","-0.1667829","-0.15252091","0.64818186","-0.3252345","-0.000996462","-0.08860111","0.41059282","-0.4437095","-0.22644013","-0.046039905"
"detail","-0.17524257","-0.20437555","-0.5856906","-0.5233444","0.3028837","-0.4328273","0.2522928","0.2014171","-0.6333771","-0.39420816","-0.06942688","0.20331743","-0.009736771","-0.21134295","-0.080631256","0.7426009","0.28485525","0.3774334","-0.22403139","-0.3932383","0.4877208","0.12736242","0.22432685","0.19454701","-0.59175533","0.32152566","0.7599751","-0.07857303","0.5537025","-0.21316051","0.008574465","0.03083279"
"socialism","0.0077883396","0.21130419","-0.31233883","-0.3122341","-0.009329623","0.111712195","-0.28354257","0.114838995","-0.39945713","0.057098493","-0.08133474","-0.06249574","0.43045294","0.19143462","0.1506738","-0.47027662","-0.06343699","0.2854599","0.24896759","0.28135446","0.23506777","0.4718349","-0.19036847","0.23727824","0.54641944","-0.092418045","-0.41515246","-0.54284155","-0.17965126","0.51138896","-0.24899165","0.100266024"
"their","-0.05292441","0.13884734","0.06679088","-0.09596649","0.41928813","0.1606711","-0.25132012","0.4122327","-0.23682883","0.3446173","-0.09645848","0.09595757","-0.0796769","-0.16011877","-0.2330993","0.00051412673","0.3516076","-0.38577273","-0.3641932","0.07106918","-0.32911602","-0.039725233","0.13250643","0.04557664","-0.10017276","-0.040488493","0.11490682","0.21388252","0.27504343","0.104707256","0.07208257","-0.30892092"
"foreword","-0.08368126","0.10770309","0.26132163","-0.4858687","0.1088659","-0.18953916","0.13423824","0.01581836","-0.18575399","0.2698628","-0.012139864","-0.115249485","0.0250666","0.1444122","-0.18182138","0.5261637","-0.01761375","0.0697051","-0.22658874","-0.3564143","-0.2590322","-0.09877251","0.23227766","0.5350024","0.38365215","0.50310796","-0.569619","-0.22928075","0.4174116","0.106610455","-0.17983387","0.2419885"
"authors","0.6415415","-0.23262231","-0.048062813","0.20217074","-0.3988465","-0.100938834","0.2745134","-0.30718496","0.5169982","-0.10773243","-0.02440018","-0.1154212","-0.19625428","0.13190958","0.63113064","-0.34955177","-0.6115597","0.65282446","0.29573014","-0.0016455335","0.06338004","-0.17210926","-0.27695715","-0.031565778","-0.47843984","0.00558157","0.13809735","0.1427546","-0.20328939","0.22247307","0.10208604","-0.14272913"
"stress","0.5876131","0.35967818","-0.18234617","0.6150858","0.009858853","0.31904456","-0.1566122","-0.24680269","-0.60000455","-0.97814447","0.45224154","0.05512689","-0.25929722","-0.023104308","0.30471024","-0.10327414","-0.4223181","0.34146354","0.476271","0.8188703","0.101886265","-0.43302637","0.041745715","0.25730205","0.14365925","0.017373621","0.16159914","-0.5171264","-0.5523291","-0.06456172","0.61320114","0.46917853"
"that","-0.38371834","-0.4520333","0.003426849","-0.09084079","-0.4310426","-0.15023698","-0.18104328","-0.19320591","0.3222843","0.120751664","0.13861397","-0.20165433","0.39706755","0.07683195","0.43444505","-0.09640868","0.23293653","-0.20571695","0.25808138","-0.19432172","-0.07858719","0.26601452","-0.19514756","-0.4972692","0.08609924","0.20930323","-0.05260841","0.22840656","0.050602958","-0.115639925","-0.1778976","0.064131424"
"aim","0.17231509","-0.16175401","-0.40767866","-0.5911641","0.45518786","-0.34349543","0.53918725","-0.1726053","0.51576036","-0.15268324","0.30353174","0.34725413","0.21824093","0.23288654","-0.3623528","0.66517645","-0.12197452","-0.35189992","-0.033887655","-0.65957457","-0.09799528","0.1065469","0.31488672","0.4438278","0.003507863","-0.39048064","-0.52705276","0.40188172","0.14511882","0.44166866","-0.34096453","-0.2377025"
"is","-0.19677381","0.13800155","0.11830496","-0.07083582","0.021850506","-0.15712468","-0.1999625","0.18665639","-0.36390838","-0.013411305","-0.11802208","-0.11028861","-0.14768215","-0.13881312","-0.17576706","0.1204445","0.0077525135","-0.32827166","-0.06147671","0.035653118","-0.08950376","-0.15483028","0.18920164","0.2022958","0.27040136","0.060177296","0.054225553","-0.09674608","0.06376771","-0.17642044","-0.059032947","-0.005597103"
"dogmatic","-0.17939499","0.4035494","0.01782669","-0.22511955","0.29134163","0.17475724","-0.006376637","0.6169756","-0.5033955","-0.17692208","-0.56340706","0.1802543","-0.90475386","-0.06477581","-0.17208198","-0.58702","0.14988379","0.4296987","0.23524","0.7299046","0.013323531","0.44191065","-0.104366615","0.12156297","-0.28585157","-0.16669086","0.2658831","-0.112518914","0.42867404","-0.24015361","1.0247157","0.106096804"
"scientific","0.6222291","-0.54841405","-0.61212695","0.51670367","0.6151685","0.047478367","0.18370637","-0.48154348","-0.4282492","0.03913228","0.1517335","0.114390455","0.30512565","0.49774668","0.45275158","0.44252226","-0.21347502","-0.18728076","0.2292978","-0.064975426","-0.53624505","-0.4940585","0.33195004","0.093442835","-0.6409016","0.6954488","0.00843006","-0.093458705","0.15949358","0.8759884","-0.41415614","-0.5041171"
"they","0.31986302","-0.27555725","-0.19493027","0.050231896","0.09443134","-0.24335092","-0.29720977","-0.17619781","-0.2563765","0.023961939","0.07592943","-0.19800478","0.1665506","0.28583714","0.015097509","-0.0885579","0.1739712","-0.034502026","0.005660498","-0.016739635","0.070312984","0.06425085","-0.13315856","-0.124682255","0.10740896","0.28620723","-0.13818799","0.018943056","-0.071884304","0.040296145","0.050397843","-0.0682417"
"would","0.115242675","-0.30638337","0.42485783","0.12995361","0.41201827","-0.16325644","0.746049","-0.3595708","0.02248247","0.27106303","-0.02842323","-0.24488598","0.21097215","0.2891258","0.08241312","-0.6817768","-0.19032305","0.26720312","-0.11097509","-0.3801745","-0.5493897","-0.044849195","-0.525308","0.22409333","-0.048764072","-0.25917336","0.22100762","-0.5825058","0.61944187","-0.24164806","-0.011388102","0.15885207"
